country,num_trans,un_entry,trans_dem,trans_confl,trans_new,description
Kazakhstan,1,1992,0,0,1,"1991: Kazakhstan gains independence, marking an end to decades-long Soviet rule"
Kenya,3,1963,1,0,0,"1991: Government repeals 1982 constitutional provision that made Kenya a one-party state, allowing for reinstatement of multi-party elections and degree of greater democratic freedom"
Kenya,3,1963,1,0,0,"2002: Opposition parties defeat Daniel arap Moi in elections, ending the Kenya African National Union’s semi-authoritarian rule (which lasted from 1963-2002)"
Kenya,3,1963,0,1,0,"2008: African Union mediation persuades opposition parties to sign National Accord committing to share power and end violence, marking an end period of internal conflict (which lasted from 2007-2008)"
Kiribati,0,1999,0,0,0,
"Korea, North",0,1991,0,0,0,
"Korea, South",1,1991,1,0,0,"1987: End of period of authoritarian rule (which lasted from 1961-1987), culminating in a new constitution and the first direct presidential election since 1971"
Kuwait,0,1963,0,0,0,
Kyrgyzstan,3,1992,0,0,1,"1991: Kyrgyzstan gains independence, marking an end to Soviet rule"
Kyrgyzstan,3,1992,1,0,0,2005: The Tulip Revolution ousts authoritarian regime of President Askar Akayev (which lasted from 1990-2005)
Kyrgyzstan,3,1992,1,1,0,"2010: In April, anti-government protests overthrow authoritarian regime of President Kurmanbek Bakiyev (which lasted from 2005-2010). In June, violent rioting subsides, marking an end to brief but violent ethnic conflict between Kyrgyz and Uzbeks in Osh."
Lao PDR,1,1955,0,1,0,"1975: Pro-communist Pathet Lao forces seize power, establishing the Lao People’s Democratic Republic and marking end of the Laotian Civil War (which lasted from 1953-1975)"
Latvia,1,1991,0,0,1,"1991: Latvia regains independence, marking an end to decades-long Soviet rule"
Lebanon,4,1945,0,1,0,1958: Installation of Fuad Chehab as president ends months-long sectarian conflict
Lebanon,4,1945,0,1,0,"1989: The Taif Agreement is signed, leading to eventual end of the Lebanese Civil War (which lasted from 1975-1990)"
Lebanon,4,1945,1,0,0,"2005: The Cedar Revolution prompts withdrawal of Syrian troops from Lebanon after 29-year occupation, leading to first democratic elections since 1976"
Lebanon,4,1945,0,1,0,"2007: Lebanese Armed Forces defeat Fatah al-Islam in the Nahr al-Bared Palestinian refugee camp, ending months-long conflict"""
Lesotho,1,1966,1,0,0,1993: Period of military rule (which lasted from 1986-1993) ends and new constitution is adopted
Liberia,4,1945,1,0,0,"1990: President Doe is executed by a splinter group of the National Patriotic Front of Liberia, marking an end to his authoritarian rule (which lasted from 1980-1990)"
Liberia,4,1945,0,1,0,"1996: Series of peace accords and enlargement of ECOMOG peacekeeping force leads to a reduction in violence, marking an end to the first phase of Liberian civil war (the most violent period of which lasted from 1989-1996)"
Liberia,4,1945,0,1,0,2003: Accra Comprehensive Peace Agreement marks an end to the second phase of the Liberian civil war (the most violent period of which lasted from 1999-2003)
Liberia,4,1945,1,0,0,"2003: Charles Taylor resigns following national and international pressure, ending his authoritarian rule (which lasted from 1997-2003)"
Libya,1,1955,1,0,0,"2011: Anti-government uprising and international intervention oust Colonel Muammar Gaddafi, ending his authoritarian regime (which lasted from 1969-2011)"
Liechtenstein,0,1990,0,0,0,
Lithuania,1,1991,,,1,1991: Declaration of independence from Socialist Federal Republic of Yugoslavia (following long period of communist rule within the former Yugoslavia) 2001: Ohrid Agreement marks end of internal conflict (which lasted from January-November 2001) between the Government and the National Liberation Army (UÇK)
Luxembourg,0,1945,0,0,0,
Macedonia,3,1993,0,0,1,1991: Declaration of independence from Socialist Federal Republic of Yugoslavia (following long period of communist rule within the former Yugoslavia)
Macedonia,3,1993,0,1,0,2001: Ohrid Agreement marks end of internal conflict (which lasted from January-November 2001) between the Government and the National Liberation Army (UÇK)
Macedonia,3,1993,1,0,0,"2017 - Social Democratic Union of Macedonia (SDSM)-led government is formed, marking an end to 11 years of increasingly authoritarian rule by VMRO-DPMNE."
Madagascar,1,1960,1,0,0,1993: Elections bring end President Didier Ratsiraka’s authoritarian rule (which lasted from 1975-1993) following adoption of 1992 constitution which introduced multiparty competition and strengthened civil liberties
Malawi,1,1964,1,0,0,1993: Referendum ends authoritarian one-party rule of Hastings Banda (which lasted from 1970-1993)
Malaysia,4,1957,1,0,0,1960: Emergency rule (which lasted from 1948-1960) is lifted
Malaysia,4,1957,1,0,0,1971: National state of emergency (which lasted from 1969-1971) is lifted
Malaysia,4,1957,0,1,0,"1989: “Agreement Between the Government of Malaysia and the Communist Party of Malaya to Terminate Hostilities” leads to disbanding and disarmament of insurgent Communist Party of Malaya, marking an end to post-colonial phase of conflict (which lasted intermittently from 1968-1989)"
Malaysia,4,1957,0,1,0,"1990: Peace accord between Clandestine Communist Organisation and Malaysia is signed, formally ending the communist insurgency in Sarawak (the most violent period of which lasted from 1963-1966)"
Maldives,1,1965,1,0,0,2018: Free and fair elections mark an end to president Abdulla Yameen’s increasingly authoritarian rule.
Mali,6,1960,0,1,0,"1964: Government forces crush first Tuareg rebellion, marking an end to internal conflict (which lasted from 1962-1964) "
Mali,6,1960,1,0,0,"1991: President Moussa Traoré is deposed in a coup, ending his authoritarian rule (which lasted from 1968-1991) and leading to multi-party elections in 1992."
Mali,6,1960,0,1,0,"1992: The government and Tuareg rebel groups sign National Pact, promising demilitarisation and economic recovery of the north. This followed the 1991 signing of the Tamanrasset Accord by the government, the Azawad Popular Movement and the Arab Islamic Front of Azawad (FIAA), which promised the rebels’ demobilisation and integration into Malian national forces as part of the settlement of the second phase of the northern Malian conflict (which started in 1990)."
Mali,6,1960,0,1,0,"1995: The government, the Malian Patriotic Movement of the Ghanda Koy, and the Tuareg Front for the Liberation of Azawad sign the Bourem Accords. With the support of Algerian mediation, FIAA declares a ceasefire."
Mali,6,1960,0,1,0,"2006: The government and the Democratic Alliance for Change sign the Algiers Accords, promising regional investment and integration of rebels into Malian national forces."
Mali,6,1960,0,1,0,"2015: The government and the Coordination of Movements for Azawad (an alliance of Tuareg and Arab-led rebels) sign Algerian-brokered Agreement for Peace and Reconciliation in Mali, marking the end of armed conflict (which lasted from 2012-2015)"
Malta,0,1964,0,0,0,
Marshall islands,0,1991,0,0,0,
Mauritania,1,1961,1,0,0,"2007: First competitive multi-party elections take place, marking a brief end to period of authoritarian and military rule (which lasted from 1984-2007)"
Mauritius,0,1968,0,0,0,
Mexico,2,1945,0,1,0,"1996: Mexican government and Zapatista Army of National Liberation sign San Andrés Accords, providing for increased rights and autonomy for indigenous people and formally ending conflict (which lasted from 1994-1996)"
Mexico,2,1945,1,0,0,"2000: The opposition National Action Party wins presidential elections, ending period of single-party dominance of Institutional Revolutionary Party (which lasted from 1929-2000) and intermittently authoritarian rule"
Micronesia,0,1991,0,0,0,
Moldova,1,1992,0,0,1,"1991: Moldova gains independence, marking an end to decades-long Soviet rule"
Monaco,0,1993,0,0,0,
Mongolia,1,1961,1,0,0,"1990: Popular protests force the politburo of the Mongolian People's Revolutionary Party to resign, leading to first open multiparty elections and ending era of communist one-party state (which lasted from 1921-1990)"
Montenegro,2,2006,1,0,0,"2000: Public protests force Slobodan Milosevic out of power, ending his authoritarian rule (which lasted from 1989-2000) and culminating in UN membership as Federal Republic of Yugoslavia"
Montenegro,2,2006,0,0,1,"2006: Declaration of independence from Serbia and Montenegro following successful referendum (after having previously experienced civil war in the former Yugoslavia in the 1990s, and decades-long communist rule)"
Morocco,2,1956,0,0,0,"1999: King Mohamed VI assumes power after the death of his father Hassan II, and begins taking steps to deepen Morocco’s conversion into a constitutional monarchy"
Morocco,2,1956,0,0,0,"2011: Following popular unrest, King Mohamed VI introduces new Constitution strengthening the elected executive and the judiciary, and recognising Berber as an official national language"
Mozambique,2,1975,1,0,0,"1990: National Assembly approves constitutional amendments that establish a multi-party system, leading to first competitive elections in 1994"
Mozambique,2,1975,0,1,0,1992: General Peace Agreement for Mozambique formally ends civil war between Government and RENAMO rebels (which lasted from 1977-1992)
Myanmar,4,1948,1,0,0,"1960: U Nu’s Clean AFPFL faction wins national elections, re-introducing civilian rule and ending period of military rule (which lasted from 1958-1960)"
Myanmar,4,1948,0,1,0,"1989: Military regime signs ceasefire agreement with insurgent National Democratic Alliance Army, prompting a series of negotiated ceasefires with various other armed ethnic groups over several years"
Myanmar,4,1948,1,0,0,"2010: Main military-backed party wins first controlled multiparty elections since 1990 and ruling junta announces the start of gradual transition from military to civilian rule, leading to end of period of direct military rule (which lasted from 1962-2011)"
Myanmar,4,1948,0,1,0,2015: Government signs Nationwide Ceasefire Agreement with eight major armed ethnic groups in an effort to end decades-long conflict
