truthcommissionID,country,ccode_cow,officialName,officialName_en,officialName_en_fr,tcType,legalBasis,branchCreated,domesticInitiatePerson,internationalBody,yearPassed,dayMonthPassed,tclawOnline,status,yearBeginOperation,democraticTransitionBeforeTC,fitsPostAutocraticTJ,intraConflictBeforeTC,fitsConflictTJ,ucdpConflictID,ucdpDyadID,beganOperatingDuringIntraConfl,beganOperatingAfterIntraConfl,tcAims,subnationalAuthorization,subnationalOperation,consultedVictims,consultedGroups,mandateTimePeriodCovered,timePeriod,idiosyncratic,disappearance,death,torture,SGBV,forcedDisplacement,corruption,crimeSpecificGroups,crimesOther,victimCount,formallyIndependent,commissioners,commissionerCount,commissionersHowChosen,commissionersVictimGroups,staff,staffMemberCount,primaryFunding,estimatedCost,investigateStateMembers,compelTestimony,penalizeIndividuals,namePerpetrators,accessOfficialDocuments,supportProsecutions,allocateReparations,recommendInstitutionalReforms,grantAmnesty,testimonies,casesTestimoniesCount,testimoniesAvailablePublic,heldPublicHearings,encourageVictimTestimony,encourageVictimTestimonyHow,perpetratorTestimony,perpetratorPubliclyNamedTestimony,perpetratorsWho,perpetratorReceived,yearCompleteOperation,finalReportIssued,reportPublisher,reportPubliclyAvailable,pdf_file,reportEstablishResponsibility,perpetratorNamesPublished,reportHighlightVictimGroups,finalReportRecommendations,recommendProsecutions,recommendProsecutionsWho,recommendReparations,reparationsType,reportRecommendInstitutionalReform,SecuritySectorReforms,SSRType,vetting,vettingType,legalReform,legalType,judicialReforms,judicialReformsType,humanRightsReforms,humanRightsReformType,corruptionReforms,corruptionReformsType,genderReform,genderReformType,finalRecommendations,mandatePeriodicMonitoringImplementation,tjet_version
136,Estonia,366,"Inimsusevastaste Kuritegude Uurimise Eesti Rahvusvahelise Komisjoni, aka Max Jakobsoni komisjoni (Estonian International Commission for the Investigation of Crimes against Humanity, aka the Max Jakobson Commission)","Estonian International Commission for the Investigation of Crimes against Humanity, aka the Max Jakobson Commission","Commission internationale estonienne d'enquête sur les crimes contre l'humanité, alias Commission Max Jakobson",international,domestic law,executive,President Lennart Meri,,1998,1998-10-02,unavailable. Excerpts from the President’s speech inaugurating the Commission available at [https://web.archive.org/web/20020608203903/http://www.historycommission.ee/temp/statement\_frame.htm](https://web.archive.org/web/20020608203903/http:/www.historycommission.ee/temp/statement_frame.htm) and [https://web.archive.org/web/20020608203903/http://www.historycommission.ee/temp/statement\_frame.htm](https://web.archive.org/web/20020608203903/http:/www.historycommission.ee/temp/statement_frame.htm),completed,1999,1,1,0,0,,,0,0,reconciliation; responsibility; historical truth; accountability; recognition of victims; non-recurrence,no,no,0,,Yes,Between 1940 and the establishment of the Commission in 1998,0,1,1,1,1,1,0,1,1,214981,fully independent,Yes,7,Appointed by President Meridian,Yes,Yes,,state government,,1,0,0,0,1,0,0,0,0,No,,No,No,No,,No,,former state agents; former opposition; foreign actors,,2008,Yes,"The Commission published three reports, each focusing on a different stage of totalitarianism. The first covers 1940-41 (2004), the second 1941-44 (2008), and the third, 1944-Commission’s establishment (2009). The reports were all published in full as books by the Foundation for the Investigation of Crimes Against Humanity and edited by Toomas Hiio, Meelis Maripuu, Indrek Paavle. The books are available at the Eesti Mälu Institut.",Yes,1,Yes,Yes,Yes,No,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
139,Gambia,420,"Truth, Reconciliation, and Reparations Commission","Truth, Reconciliation, and Reparations Commission","Commission vérité, réconciliation et réparations",domestic,domestic law,legislative act,The national assembly and President Adam Barrow,,2018,2018-01-13,<https://www.lawhubgambia.com/truth-reconciliation-reparations-commission>,completed,2018,1,1,1,0,,,0,0,prevention of human rights violations; reconciliation; historical truth; recognition of victims; institutional reform; non-recurrence,no,no,1,children's representatives; women / feminist groups,Yes,July 1994-January 2017,0,1,1,1,1,0,0,0,0,250,fully independent,Yes,11,"According to the TRRC Act, the commissioners had to be Gambian citizens with “high moral character and integrity who have distinguished themselves in their respective fields of vocation or communities.” They could not be actively involved in a political party, bankrupt, or a felon. Prior to formal appointment by President Barrow, he was mandated to meet with civil society organizations, victims groups, the Gambian Bar Association, the National Youth Council, the press, and others to discuss the credibility and applicability of the commissioners.",Yes,Yes,51,state government,3935335,1,1,0,0,1,0,1,1,0,Yes,393,Yes,Yes,Yes,conducted outreach; offered witness protection,Yes,Yes,former state agents; current state agents,No,2021,Yes,"The report was presented to president barrow November 25, 2021 and was made publicly available December 24, 2021. The report circulated and was published by the press.",Yes,1,Yes,Yes,Yes,Yes,1,"Jammeh, his right-hand-man Ousman Sonko, Sanna B. Sabally, Edward Singhatey, Peter Singhatey, “all the Junglers”, Yankuba Touray, Solo Bojang, OJ Jallow, Saihou Jallow, Foday Barry, Baba Saho, Kawsu Camara (Bombardier), Alagie Martin, Sheikh Omar Jeng, MC Cham, Almamo Manneh, Baboucarr Bah (recommended for amnesty in light of his testimony and the fact that he showed remorse and contributed to the reconciliation of his victims), Musa Jammeh (Maliamungu), Sergeant Gomez (Hitler), Baboucarr Jatta, Papu Gomez, Cpl. Alhagie Kanyi, Pte. Baboucarr Njie ( “De Chebb,” or” Njie Ponkal”), Pte. John Charles B. Mendy ( JCB Mendy), Pte. Baboucarr Ahmad Njie ( B.A. Njie), Pte. Albert Gomez, Pte. Lamarana Barry, Pte. Ensa Mendy, Pte. Jali Musa Suso, Pte. Lamin Marong, Pte. Mustapha Touray ( “Churro”), Pte. Lamin (Pa) Senghore (Assasin), Pte. Baboucarr Mboob, Pte. Lamin Colley, Alagie Kanyi (recommended for amnesty), BK Jatta (recommended for amnesty), Pa Alieu Gomez (recommended for amnesty), Isatou Njie Saidy, Ousman Badjie, Abdou Giri Njie, Gorgui Mboob, Abdoulie Bah, Modou Gajaga, Baboucarr Sowe, Momodou Ceesay, Superintendent Almami Manga, Dr. Tamsir Mbowe, Ansumana Jammeh, Tambajiro, Omar Jawo, Tamsir Bah, Yahya Jammeh, Malick Jatta (Alfidie), Sanna Manjang, Tumbul Tamba, Bai Lowe, Nuha Badjie, Landing Tamba, Alieu Jeng, Omar A. Jallow (Oya), Buboucarr Jallow, Lamin Sillah, Yankuba Badjie, Tamba Masireh, Edrissa Jobe (Alagie Morr), Lamin Darboe, David Colley, Ebrima Jammeh (Chief torturer), Yahya Jarju, Saikouba Jarju and Muhammed Jabbi",1,collective,1,1,democratic accountability / civilian control; training / capacity; structural reforms; discipline / changed codes of conduct; detainee treatment / prison conditions,0,,1,change to criminal code; comply with human rights law; pass constitutional amendments; other,1,general recommendation; more legal aid; respect due process; change judge codes of conduct; change rules for judicial appointment,1,establish independent human rights bodies; protect rights defenders / freedom of expression,0,,1,other; address sexual violence,"Declaring April 10 or 11 a national holiday for memorialization and non-recurrence. Annually meet with student civil society to discuss issues of concern, and facilitate a channel to listen to student complaints. ensure access to comprehensive treatment for HIV, establish destigmatization programs for HIV, universal registration of victims to understand the full extent of victimhood, empower the National Human Rights Commission (established in 2017) to monitor the implementation of the TRRC’s recommendations",Yes,2025-12-16
140,Germany,255,(Commission of Inquiry for Working Through the History and the Consequences of the SED Dictatorship in Germany) Die Enquete-Kommission Aufarbeitung von Geschichte und Folgen der SED-Diktatur in Deutschland,Commission of Inquiry for Working Through the History and the Consequences of the SED Dictatorship in Germany,Commission d'enquête chargée de retracer l'histoire et les conséquences de la dictature du SED en Allemagne,domestic,domestic law,legislative act,"Parliament, called the Bundestag",,1992,1992-05-14,<https://www.usip.org/publications/1992/05/truth-commission-germany-92>,completed,1992,1,1,0,0,,,0,0,reconciliation; dialogue; responsibility; historical truth; reparation; recognition of victims; truth for victims,no,no,0,,Yes,"1945-1989, which is broken into 6 historical periods",1,0,0,0,0,1,0,1,0,,fully independent,Yes,27,"16 were members of the Bundestag and eleven were external experts. Parties nominated the Bundestag members and proposed experts. From this list of proposed experts, the President of the Bundestag selected and appointed experts.",No,Yes,29,state government,,1,0,0,0,1,0,0,1,0,Yes,319,Yes,Yes,No,,No,,,,1994,Yes,"""Working Through the History and the Consequences of the SED Dictatorship in Germany"" was presented to Parliament in 1994 and published by Nomos/Suhrkamp, cited as: Germany. Enquete-Kommission ""Aufarbeitung von Geschichte und Folgen der SED-Diktatur in Deutschland."" Baden Baden; Frankfurt am Main: Nomos; Suhrkamp, 1995. A website was also published after the 1995 COI that includes the published report of this 1992 COI. While it is not downloadable as a contiguous pdf or even in volumes, visit enquete-online.de to view the report through its research software.",Yes,1,Yes,No,No,Yes,0,,0,,1,0,,0,,0,,0,,1,establish independent human rights bodies,0,,0,,Museums and documentation centres. National holidays and mapping of government buildings used by the SED.,No,2025-12-16
141,Germany,255,(Commission of Inquiry for the Overcoming of the Consequences of the SED Dictatorship in the Process of German Unity) Die Enquete-Kommission Überwindung der Folgen der SED-Diktatur im Prozess der Deutschen Einheit,Commission of Inquiry for the Overcoming of the Consequences of the SED Dictatorship in the Process of German Unity,Commission d'enquête pour l'élimination des conséquences de la dictature du SED dans le processus de l'unité allemande,domestic,domestic law,legislative act,"Parliament, called the Bundestag",,1995,1995-06-22,<https://www.usip.org/sites/default/files/file/resources/collections/commissions/Germany95-Charter.pdf>,completed,1995,1,1,0,0,,,0,0,reconciliation; memorialization; historical truth; recognition of victims; non-recurrence; truth for victims,no,no,0,,Yes,"1945-1989, which is broken into 6 historical periods",1,0,1,0,0,1,0,1,1,500110,fully independent,Yes,24,"12 were members of the Bundestag and 12 were external experts. Parties nominated the Bundestag members and proposed experts. From this list of proposed experts, the President of the Bundestag selected and appointed experts.",Yes,Yes,38,state government,,1,0,0,0,1,0,0,1,0,Yes,292,Yes,Yes,No,,No,,former state agents; foreign actors,,1998,Yes,""" Overcoming the Consequences of the SED Dictatorship in the Process of German Unity"" was presented to Parliament in June 1998 and published by Nomos/Suhrkamp, cited as: Germany. Bundestag. Materialien Der Enquete-Kommission ""Überwindung Der Folgen Der SED-Diktatur Im Prozess Der Deutschen Einheit"": (13. Wahlperiode Des Deutschen Bundestages). Baden-Baden; Frankfurt am Main: Nomos; Suhrkamp, 1999. A website was also published that includes the published final report. While it is not downloadable as a contiguous pdf or even in volumes, visit https://enquete-online.de/themen-1995-1998-2/ to view the report through its research software. The website also included information and the report of the 1992 COI for continuity and freedom of information.",Yes,1,Yes,No,No,Yes,0,,1,collective,1,0,,0,,0,,0,,1,establish independent human rights bodies; protect rights defenders / freedom of expression; address minority rights violations,0,,0,,Museums and Documentations National holidays and mapping of government,No,2025-12-16
142,Ghana,452,National Reconciliation Commission,National Reconciliation Commission,Commission de réconciliation nationale,domestic,domestic law,executive; legislative act,Parliament and President John Agyekum Kufour,,2002,2002-01-09,<http://www.ghanareview.com/reconact.html>,completed,2002,1,1,1,0,,,0,0,prevention of human rights violations; reconciliation; historical truth; reparation; recognition of victims; institutional reform; non-recurrence; truth for victims,no,yes,0,,Yes,"March 6, 1957 and January 6, 1993",0,1,1,1,1,1,0,0,1,8686,fully independent,Yes,9,"They were appointed by the President and in consultation with the Council of State according to their “integrity, sense of fairness and ability of the persons to achieve the object of the Commission,” according to the NRC Act of 2002.",,Yes,,state government,,1,1,1,0,1,0,0,0,0,Yes,4240,Yes,Yes,Yes,conducted outreach; offered witness protection,Yes,No,former state agents; current opposition; former opposition; current state agents,No,2004,Yes,"The NRC published its own report, the highly respected Ghanaian Center for Democracy and Development synthesized and published an executive summary, also in 2004.",Yes,1,Yes,No,No,Yes,0,,1,collective; individual,1,1,general recommendation; democratic accountability / civilian control; training / capacity; structural reforms; discipline / changed codes of conduct; detainee treatment / prison conditions,1,comprehensive vetting,1,pass constitutional amendments; other,1,respect due process; more legal training; change judge codes of conduct; change rules for judicial appointment,1,establish independent human rights bodies; other; protect rights defenders / freedom of expression,0,,0,,"Memorialization in terms of Museums, stamps, coins, badges as well as maintaining public records and a documents. Education in terms of introducing history of conflict in curriculum. and willingness of educational institutions and structures to change as students’ desires and demands change with generations; policymakers must be sensitive to the interests of students who view themselves as the mouthpiece for the future; increased channels of communication between schools’ administration and the government its first several recommendations all demand that the President makes public apology to certain victims groups for the violations committed by past Executives; a Trauma and Counselling Centre in every Regional and District Hospital; media-related reforms including freedom of information, less intimidation of the media to propagate a partisan narrative, and social responsibility training; labor reforms, including the democratic engagement with trade unions rather than incorporation of trade unions under partisan clientelism and increased government-union collective bargaining; political party structural reform to reduce intra-party fighting that may compromise democracy; student movement- and youth-oriented reforms; tribal- and chieftaincy-oriented reforms, mostly regarding land, stool, and skin conflicts; religious body reform, including separation of religion and politics while also politics understanding the philosophy of religion.",No,2025-12-16
144,Guatemala,90,Commission for Historical Clarification (Comisión de Esclarecimiento Histórico),Commission for Historical Clarification,Commission pour la clarification historique,domestic,peace agreement,,,,1994,1994-06-23,<https://www.usip.org/sites/default/files/file/resources/collections/peace_agreements/guat_940623.pdf>,completed,1997,1,0,1,1,233,469,0,1,prevention of human rights violations; memorialization; historical truth; non-recurrence,yes,yes,0,,Yes,March 1962 – December 1996,0,1,1,1,1,0,0,1,1,201500,fully independent,Yes,3,"One Commissioner was appointed by the UN Secretary General. The other two were appointed by the presiding Commissioner. The included German law professor Christian Tomuschat, Guatemalan lawyer Alfredo Balsells Tojjo and Mayan educator Otilia Lux",No,Yes,23,state government; foreign donor,9796167,1,0,0,0,1,0,0,1,0,Yes,7517,No,No,Yes,conducted outreach; offered witness protection,Yes,No,former state agents; former opposition,No,1999,Yes,UNOPS,Yes,1,Yes,No,Yes,Yes,1,"That the Government and the Judicial Organisation, with active collaboration Of civil society, start as soon as possible investigations on all The enforced disappearances of being known 47. the powers of the State fulfil and enforce in all their terms And in relation to the rest of the Guatemalan legal system, the National Reconciliation Law, prosecuting, prosecuting and punishing the Offences whose criminal responsibility is not extinguished under that law.",1,collective; individual,1,1,democratic accountability / civilian control; training / capacity; structural reforms,1,,1,general recommendation; comply with human rights law,1,general recommendation,1,general recommendation; ratify human rights treaties; protect rights defenders / freedom of expression; address minority rights violations,0,,0,,- Human Rights Education campaign REC 37-38 - Continuation of research and analysis of the past by civil society - Inclusion of Indigenous peoples in the public career REC 80-81. - Suparation of racism and subordination of indigenous peoples REC 82 - Legislation to create of a steering committee for the implementation of the recommendations REC 84 - UN to help in the implementation of the recommendations trough MINUGUA.,No,2025-12-16
239,Guatemala,90,"The Catholic Church's Recovery of Historical Memory Project (REHMI), non-state sanctioned","The Catholic Church's Recovery of Historical Memory Project (REHMI), non-state sanctioned",Projet de récupération de la mémoire historique de l'Église catholique (REHMI) | Non sanctionné par l'État,domestic,,,,,1995,,,,1995,1,0,1,1,233,469,0,1,historical truth; recognition of victims; truth for victims,,,0,,No,,0,1,1,1,1,1,1,0,0,6500,fully independent,No,,,,Yes,600,foreign donor,,0,0,0,1,0,1,0,1,0,Yes,6500,No,No,Yes,conducted outreach,No,,,,1998,Yes,The Catholic Church,Yes,1,Yes,Yes,Yes,No,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,,2025-12-16
145,Haiti,41,Commission Nationale de Vérité et de Justice (National Truth and Justice Commission),National Truth and Justice Commission,Commission nationale pour la vérité et la justice,hybrid,domestic law,executive,President Jean Bertrand Aristide,,1995,1995-03-28,<https://www.usip.org/sites/default/files/file/resources/collections/commissions/Haiti-Charter.pdf>,completed,1995,1,1,1,0,,,0,0,prevention of human rights violations; reconciliation; responsibility; historical truth; accountability; reparation; recognition of victims; institutional reform; non-recurrence; truth for victims,no,no,0,,Yes,"September 29, 1991 to October 15, 1994",0,1,1,1,1,1,0,0,1,8677,fully independent,Yes,7,"According to the mandate, they were “chosen from among personalities known for their commitment to the rule of law and respect for human rights as well as for their competence, integrity, credibility, and moral and intellectual authority. Three of these members are selected in close consultation with the [UN] and [OAS].”",No,Yes,57,state government; foreign donor,2500000,1,1,1,0,1,0,0,1,0,Yes,8650,No,No,Yes,conducted outreach,No,,former state agents; current state agents,,1996,Yes,"The CNVJ submitted its report to the President, who was required to publish it according to Art. 23 of the mandate. However, President Aristide chose not to publish it except to Parliament until 1998.",Yes,1,Yes,No,No,Yes,1,Perps included in an annex unavailable to the public because it can only become available after prosecutions are initiated and prosecutions were never initiated,1,general recommendation,1,1,general recommendation; training / capacity; structural reforms; discipline / changed codes of conduct; detainee treatment / prison conditions,0,,1,general recommendation; change to criminal code; pass constitutional amendments; other,1,general recommendation; more legal aid; more legal training; change judge codes of conduct; change rules for judicial appointment,1,establish independent human rights bodies; ratify human rights treaties; protect rights defenders / freedom of expression,0,,1,address sexual violence,Memorializtion in terms of statues and public memorials. And Education reform by introducing history of the conflict in curriculum and renewed teaching of forensic pathology; educational oversight and educational projects organized by the Supreme Council of the judiciary (post-reform). prevention of propaganda; the government of Haiti take all necessary steps to receive the FRAPH files held by the US in confidentiality and the archives of the Haitian army in order to better understand the history of conflict and the abuse of victims,No,2025-12-16
148,India,750,The Shah Commission of Inquiry,The Shah Commission of Inquiry,La commission d'enquête Shah,domestic,domestic law,legislative act,Parliament and the Ministry of Home Affairs,,1977,1977-03-21,<http://library.bjp.org/jspui/handle/123456789/743>,completed,1977,0,0,0,0,,,0,0,historical truth; accountability; institutional reform; non-recurrence,no,no,0,,Yes,"The days immediately prior to and including June 25, 1975",0,1,0,1,0,1,0,0,1,2342,fully independent,Yes,1,"Shah was named in the Act appointing the COI, presumably by merit according to his extensive legal background, but the metrics for choosing Shah in particular are not specified.",No,Yes,507,state government,,1,1,1,0,1,0,0,1,0,Yes,889,Yes,Yes,Yes,offered witness protection,Yes,Yes,former state agents; current state agents,No,1978,Yes,"The COI published its own report, which was released to the public and disseminated by the ruling Janata Party. It is available online via the Janata Party Library website.",Yes,0,Yes,Yes,Yes,No,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
150,Kenya,501,"The Truth, Justice, and Reconciliation Commission","The Truth, Justice, and Reconciliation Commission","La Commission vérité, justice et réconciliation",hybrid,domestic law,legislative act,President Mwai Kibaki and Minister of Justice Martha Karua,,2008,2008-05-08,<https://www.usip.org/sites/default/files/file/resources/collections/commissions/Kenya-Charter.pdf>,completed,2009,1,0,1,0,,,0,0,addressing corruption; prevention of human rights violations; reconciliation; dialogue; responsibility; historical truth; accountability; restitution; reparation; recognition of victims; coexistence; non-recurrence; truth for victims,no,yes,0,,Yes,"December 12, 1963 to February 28, 2008",0,1,1,1,1,1,1,1,1,,partially independent,Yes,7,"The Minister of Justice created an 9-person “selection panel” with 2 representatives nominated by a forum of the 6 largest Kenyan religious organizations; 1 person nominated by the Law Society of Kenya; 1 person nominated by the Federation of Kenya Women Lawyers; 1 person jointly nominated by the Central Organization of Trade Unions and the Kenya National Union of Teachers; 1 person nominated by the Association of Professional Societies of East Africa; 1 person nominated by the Kenya National commission on Human Rights; 1 person jointly nominated by the Kenya Private Sector Alliance and the Federation of Kenya Employers; 1 person nominated by the Kenya Medical Association. So this “selection panel” was a group of 9 multilateral elected individuals, whose function it was to nominate commissioner candidates. From this short list of candidates selected by the “selection panel,” President Kibaki appointed 7. In addition to being of sound mind, impartiality, good moral character, integrity, and with no association to perpetrators or supporters of the violations, they must fit the following metrics: 3 must have 15 years of human rights law experience and 4 must have knowledge and experience of forensic investigation, psycho-sociology, anthropology, religion, and gender issues. Once appointed, they had to stop active participation in any political party or other partisan organization",Don't know,Yes,454,state government,13203717,1,1,1,0,1,0,1,1,1,Yes,40000,Yes,Yes,Yes,offered witness protection,Yes,Yes,former state agents; current opposition; former opposition; current state agents; corporations,No,2013,Yes,"The TJRC published its own report and submitted it to the government, who published it in the National Gazette.",Yes,1,Yes,Yes,Yes,Yes,1,"192 people implicated in the testimonies and investigation of the TJRC itself, and an additional 191 people not implicated by testimony but implicated from public records and reports that the TJRC reviewed.",1,collective; individual,1,1,structural reforms; discipline / changed codes of conduct; detainee treatment / prison conditions,0,,1,general recommendation; comply with human rights law; other,1,general recommendation; establish special courts; more legal aid; respect due process,1,ratify human rights treaties; protect rights defenders / freedom of expression,0,,1,address gender discrimination; address sexual violence,"Memorials for victims of the Shifta War, for commemorating lives Pio Gama Pinto, JM Kariuki, Robert Ouko, Father Antony Kaiser, and Crispin Odhiambo-Mabi, convert torture center Nyayo House into a memorial, for victims and survivors in Mt. Elgon. Creation of a National Human Rights Day, creation of a National Reconciliation Conference/Day Introducing history of conflict in curriculum. Introduce a scheme to help children access schools that would be outside their financial reach. That Kenya engage in negotiations with the British government to seek compensation for victims of atrocities under colonial rule; purchase and disseminate copies of the Arusha Accords in multiple languages for public consumption; ban all of those recommended for prosecution, including the entire DSC, PSC, and KIC, from seeking or holding office; that the Catholic Church facilitate the return of Father Adrian Joseph Janito to provide testimony; make all the previous information and investigations about assassinations available to the public; the establishment of a national forensic laboratory; help minorities access identity cards; documentation effort to survey all land; address and/or recover all illegally/irregularly acquired land; revoke illegally obtained land titles and restore public easements; map all mass graves; awareness campaigns about District Peace Committees",Yes,2025-12-16
152,Lebanon,660,Official Commission of Investigation into the Fate of the Abducted and Disappeared Persons,Official Commission of Investigation into the Fate of the Abducted and Disappeared Persons,Commission officielle d'enquête sur le sort des personnes enlevées et disparues,domestic,domestic law,executive,Prime Minister Salim al-Hoss,,2000,2000-01-21,,completed,2000,0,0,1,1,260,527; 528; 529; 531; 532; 533,0,1,historical truth; recognition of victims; truth for victims,no,no,0,,Yes,1975-1999,0,1,1,0,0,0,0,0,0,17415,not independent,Yes,5,Appointed by Prime Minister Salim al-Hoss in consultation with the Council of Ministers,No,Unknown,,state government,,1,0,0,0,0,0,0,0,0,Yes,,No,No,No,,Yes,No,former state agents; current opposition; former opposition; current state agents,No,2000,Yes,"The COI itself handed its report to Prime Minister Salim al-Hoss. In response to pressure from civil society and human rights organizations, the COI did publish a three-page summary of the report, which included very limited findings and information.",No,0,,,,Unknown,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
153,Lebanon,660,Commission of Investigation into the Fate of the Abducted and Disappeared Persons,Commission of Investigation into the Fate of the Abducted and Disappeared Persons,Commission d'enquête sur le sort des personnes enlevées et disparues,domestic,domestic law,executive,Prime Minister Rafik Hariri,,2001,2001-01-05,,completed,2001,0,0,1,1,260,527; 528; 529; 531; 532; 533,0,1,historical truth; recognition of victims; truth for victims,no,no,0,,Yes,1975-1999,0,1,1,0,0,0,0,0,0,17415,not independent,Yes,7,Appointed by Prime Minister Rafik Hariri in consultation with the Council of Ministers,No,Unknown,,state government,,1,0,0,0,0,0,0,0,0,No,,No,No,No,,No,,former state agents; current opposition; former opposition; current state agents; foreign actors,,2002,Yes,The COI itself handed its report to Prime Minister Rafik Hariri. It was never formally published.,No,0,,,,Unknown,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
154,Lebanon,660,Lebanese-Syrian Joint Commission on Disappearances,Lebanese-Syrian Joint Commission on Disappearances,Commission mixte libano-syrienne sur les disparitions,hybrid,domestic law,executive,Lebanese Prime Minister Najib Mikati and Syrian President Bashar al-Assad,,2005,2005-06-22,,completed,2005,1,0,1,1,260,527; 528; 529; 531; 532; 533,0,1,historical truth; recognition of victims; truth for victims,no,no,0,,Yes,1975-99,0,1,1,0,0,0,0,0,0,17415,not independent,Yes,3,Appointed by Prime Minister Najib Mikati in consultation with the Council of Ministers,No,Unknown,,state government,,1,0,0,0,1,0,0,0,0,No,,No,No,No,,No,,former state agents; current opposition; former opposition; current state agents; foreign actors,,2009,No,,No,0,,,,Unknown,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
155,Liberia,450,Truth and Reconciliation Commission of Liberia,Truth and Reconciliation Commission of Liberia,Commission vérité et réconciliation du Liberia,domestic,domestic law,legislative act,The National Transitional Legislative Assembly and President Gyude Bryant,,2005,2005-05-12,[https://web.archive.org/web/20170502235720/http://trcofliberia.org/about/trc-mandate](https://web.archive.org/web/20170502235720/http:/trcofliberia.org/about/trc-mandate),completed,2006,1,0,1,1,341,761; 762,0,1,reconciliation; dialogue; historical truth; reparation; recognition of victims; institutional reform,no,yes,0,,Yes,"January 1979 to October 14, 2003",0,1,1,1,1,1,1,0,1,163615,fully independent,Yes,9,"The Chairman of the NTGL had already appointed Commissioners, but in an effort to ensure that the TRC process was credible and consultative, the TRC mandate sets out a procedure for vetting and appointing commissioners. If one of the existing commissioners is found to meet the requirements, they will be automatically appointed. A selection panel, comprised of “seven individuals of integrity, repute and good standing in public life,” including 3 from civil society, 2 from political parties, 1 from the UN, and 1 from ECOWAS, vetted nominees according to their “good health, of credibility, high integrity and honour.” They created a short list of 15 nominees. The nominees were mandated to have never been implicated in human rights violations, with no prior criminal record. Upon appointment by the Head of the NTGL, Gyude Bryant, they had to renounce any affiliation with any political party.",Yes,Yes,223,state government,2000000,1,1,1,0,1,0,1,1,1,Yes,22000,Yes,Yes,Yes,conducted outreach; offered witness protection,Yes,Yes,former state agents; former opposition,No,2009,Yes,The TRC itself published its report and submitted it to the Government of Liberia as well as its website.,Yes,1,Yes,Yes,Yes,Yes,1,"8 leaders of warring factions and 98 of the “most notorious perpetrators.” All 106 of these perpetrators’ names are available in Annex 2 of the Final Report Vol. II. Notably, the report also lists 36 other perpetrators who are found legally responsible but not recommended for persecution. This is how the TRC got around recommending anyone but child soldiers for amnesty and still establishing the legal responsibility of less frequent and lower-level perps. The report also lists 50 political figures recommended for lustration. It also advises justice through the Palava Hut Mechanism, a traditional form of conflict resolution.",1,collective; individual,1,1,democratic accountability / civilian control,0,,1,change to criminal code; pass constitutional amendments; other,1,establish special courts; respect due process; more legal training,1,establish independent human rights bodies; ratify human rights treaties; changes to legal identity; protect rights defenders / freedom of expression; address minority rights violations,1,comprehensive anti-corruption efforts; other,1,address sexual violence,Statues to the victims in every capital city of each county and at every mass grave; a national memorial holiday during which indigenous and/or personalized cleansing and healing rituals are sponsored at these sites. public funding for civil society; rehabilitation and reintegration of child soldiers; decentralization of the public and economic structure to engender local participation; monitoring civil society and political parties to encourage an internal democratic and egalitarian structure; sustainable,Yes,2025-12-16
157,Mali,432,"Commission Verité, Justice, et Reconciliation (Truth, Justice, and Reconciliation Commission)","Truth, Justice, and Reconciliation Commission","Commission vérité, justice et réconciliation",domestic,domestic law,executive,President Ibrahim Boubacar Keita and Prime Minister Oumar Tatam,,2014,2014-01-15,Agreement for Peace available at <http://cvjrmali.com/centre-de-documentat/> Ordonnance No. 2014-003 available at <http://cvjrmali.com/data/documents/ordce_cvjr-.pdf>,ongoing,2015,1,1,1,1,372,800; 806; 10054; 11985; 11986; 12575,1,0,prevention of human rights violations; reconciliation; dialogue; responsibility; historical truth; reparation; recognition of victims; coexistence,no,yes,0,,Yes,1960-2013,0,1,1,1,1,0,0,1,1,,partially independent,Yes,25,"Ordonnance No. 2014-003 states “the members of the commission are chosen from among people of Malian nationality enjoying their civic rights and recognized for their moral integrity and their attachment to the values of tolerance, peace and justice. They are appointed by decree issued by the council of ministers.”",Don't know,Yes,40,state government,,1,0,0,0,0,1,0,1,1,Yes,23600,No,Yes,Yes,conducted outreach; offered witness protection,Unknown,,former state agents; current opposition; former opposition; current state agents,,,No,,,0,,,,Yes,0,,1,collective; individual,0,0,,0,,0,,0,,0,,0,,0,,,No,2025-12-16
