Year democratic transition began,Année du début de la transition démocratique
Year the amnesty was passed or announced,Année d'adoption de la politique de réparation
Year the reparation policy was passed,Année de l'adoption ou de l'annonce de l'amnistie
Year the trial began,Année du début du procès
Year the truth commission was mandated,Année du mandat de la commission de vérité
Year the vetting policy was initiated,Année de mise en place de la politique de filtrage
Year transition began,Année du début de la transition
Years,Années
Years of Activity,Années d'activité
Years of ongoing violence (25 battle-related deaths or more),Années de violence continue (25 mort au combat ou plus)
Years when investigation was ongoing,Années où l'enquête était en cours
Zoom In,Effectuer un zoom avant
Zoom Out,Effectuer un zoom arrière
© 2023 Transitional Justice Evaluation Tools. All rights reserved.,© 2023 Transitional Justice Evaluation Tools. Tous droits réservés.
