tables,section,order,col_name,definition,source_abr,year_first,year_last
tjet_cy,amnesties,,amnesty_dtj_ctj_sta_opp,"amnesties for state agents and armed opposition members with post-autocratic and conflict transitional justice nexus, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_ctj_sta_opp,"amnesties for state agents and armed opposition members with conflict transitional justice nexus, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_ctj,"amnesties with conflict transitional justice nexus, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_hrv,"amnesties for human rights violations, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_sta,"amnesties for state agents, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_sta_hrv,"amnesties for state agents for human rights violations, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_opp,"amnesties for armed opposition members, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_opp_hrv,"amnesties for armed opposition members for human rights violations, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_pol,"amnesties for political prisoners and protestors, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_ref,"amnesties for refugees or exiles, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_oth,"amnesties for others, including collaborators, draft dodgers or deserters, and regular convicts, count",TJET,1970,2020
tjet_cy,amnesties,,amnesty_peaceagree,"amnesties included in peace agreements, count",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_trs_dom_sta,"domestic regular human rights prosecutions of state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_trs_dom_sta_binary,binary version of regu_trs_dom_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_trs_dom_sta_scale,scale version of regu_trs_dom_sta (0 => 0; 1-2 => 1; >2 => 2),TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_tro_dom_sta,"domestic regular human rights prosecutions of state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_ado_dom_sta,"domestic regular human rights prosecutions of state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_tfc_dom_sta,"domestic regular human rights prosecutions of state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_tfc_dom_sta_cumu,cumulative sum of regu_tfc_dom_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_cct_dom_sta,"domestic regular human rights prosecutions of state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_cce_dom_sta,"domestic regular human rights prosecutions of state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_acc_dom_sta,"domestic regular human rights prosecutions of state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_crt_dom_sta,"domestic regular human rights prosecutions of state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, regular",,regu_sen_dom_sta,"domestic regular human rights prosecutions of state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj,"domestic transitional human rights prosecutions, all",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj,"domestic intrastate conflict prosecutions, all",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_ctj,"domestic transitional humman rights and conflict prosecutions, all",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_sta_binary,binary version of tran_trs_dom_dtj_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_sta_scale,scale version of tran_trs_dom_dtj_sta (0 => 0; 1-2 => 1; >2 => 2),TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tro_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_ado_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_sta_cumu,cumulative sum of tran_tfc_dom_dtj_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cct_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cce_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_acc_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_crt_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_sen_dom_dtj_sta,"domestic transitional human rights prosecutions of state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tro_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_ado_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_sta_hi_cumu,cumulative sum of tran_tfc_dom_dtj_sta_hi,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cct_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cce_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_acc_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_crt_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_sen_dom_dtj_sta_hi,"domestic transitional human rights prosecutions of high-ranking state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj_sta_binary,binary version of tran_trs_dom_ctj_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj_sta_scale,scale version of tran_trs_dom_ctj_sta (0 => 0; 1-2 => 1; >2 => 2),TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tro_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_ado_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_ctj_sta_cumu,cumulative sum of tran_tfc_dom_ctj_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cct_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cce_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_acc_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_crt_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_sen_dom_ctj_sta,"domestic intrastate conflict prosecutions of state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tro_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_ado_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_ctj_sta_hi_cumu,cumulative sum of tran_tfc_dom_ctj_sta_hi,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cct_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cce_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_acc_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_crt_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_sen_dom_ctj_sta_hi,"domestic intrastate conflict prosecutions of high-ranking state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_ctj_sta_binary,binary version of tran_trs_dom_dtj_ctj_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_ctj_sta_scale,scale version of tran_trs_dom_dtj_ctj_sta (0 => 0; 1-2 => 1; >2 => 2),TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tro_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_ado_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_ctj_sta_cumu,cumulative sum of tran_tfc_dom_dtj_ctj_sta,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cct_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cce_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_acc_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_crt_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_sen_dom_dtj_ctj_sta,"domestic transitional human rights or intrastate conflict prosecutions of state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tro_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, count of trials ongoing, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_ado_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, average duration of ongoing trials (calendar years), by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, count of trials with any final convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_tfc_dom_dtj_ctj_sta_hi_cumu,cumulative sum of tran_tfc_dom_dtj_ctj_sta_hi,TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cct_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, count of convictions, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_cce_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, count of first convictions per accused, by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_acc_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, count of accused in ongoing trials, by nationality of the accused",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_crt_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, conviction rate, cct/acc",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_sen_dom_dtj_ctj_sta_hi,"domestic transitional human rights or intrastate conflict prosecutions of high-ranking state agents, total sum of sentences scale (> 1 year => 1; 1-3 years => 2; 4-9 years => 3; 10-19 years => 4; 20+ years => 5; Life Imprisonment => 6), by nationality of the accused & conviction year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_dtj_ctj_opp,"domestic transitional human rights or intrastate conflict prosecutions of opposition members, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj_opp,"domestic intrastate conflict prosecutions of opposition members, count of trials beginning, by nationality of the accused & start year",TJET,1970,2020
tjet_cy,"prosecutions, domestic, transitional and/or conflict",,tran_trs_dom_ctj_opp_binary,binary version of tran_trs_dom_ctj_opp,TJET,1970,2020
